agent_id,question_id,mode,profile_label,act_ref,sen_int,vis_ver,seq_glo,scs,rr,cr5,er,engagement,latency_ms,token_count,tutor_cost
P15_RefIntVerSeq_I01_beg,MH_032,R0,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.2402,0,0.0,0.0,3,19222,1796,0.0013771999999999999
P16_RefIntVerGlo_I03_adv,MH_024,R0,Reflective-Intuitive-Verbal-Global,1,1,1,1,0.2862,0,0.0,0.0,4,17259,1979,0.0017911999999999997
P07_ActIntVerSeq_I02_int,MH_058,R0,Active-Intuitive-Verbal-Sequential,-1,1,1,-1,0.2395,0,0.2,0.3333,4,15201,1536,0.0015995999999999999
P10_RefSenVisGlo_I04_gen,MH_016,R0,Reflective-Sensing-Visual-Global,1,-1,-1,1,0.1919,0,0.2,0.0,3,21103,2859,0.0021899999999999997
P03_ActSenVerSeq_I05_gen,MH_061,R0,Active-Sensing-Verbal-Sequential,-1,-1,1,-1,0.1983,0,0.4,0.0,3,7287,1572,0.0013403999999999998
P09_RefSenVisSeq_I05_gen,MH_064,R0,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.2688,0,0.2,0.3333,4,11790,2557,0.0020656
P14_RefIntVisGlo_I05_gen,MH_018,R0,Reflective-Intuitive-Visual-Global,1,1,-1,1,0.2451,0,0.0,0.0,3,13005,2713,0.0022852
P14_RefIntVisGlo_I05_gen,MH_060,R0,Reflective-Intuitive-Visual-Global,1,1,-1,1,0.2154,0,0.0,0.0,3,6487,2018,0.0014275999999999998
P08_ActIntVerGlo_I03_adv,MH_045,R0,Active-Intuitive-Verbal-Global,-1,1,1,1,0.1567,0,0.0,0.0,4,6442,1778,0.0013663999999999998
P05_ActIntVisSeq_I04_gen,MH_025,R0,Active-Intuitive-Visual-Sequential,-1,1,-1,-1,0.2527,0,0.0,0.0,3,8980,1923,0.0015119999999999999
P14_RefIntVisGlo_I03_adv,MH_012,R0,Reflective-Intuitive-Visual-Global,1,1,-1,1,0.2388,0,0.0,0.0,3,8452,2188,0.0014956
P16_RefIntVerGlo_I03_adv,MH_051,R0,Reflective-Intuitive-Verbal-Global,1,1,1,1,0.2745,0,0.4,0.3333,4,11469,2069,0.001736
P15_RefIntVerSeq_I01_beg,MH_061,R0,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.2104,0,0.4,0.0,3,8704,1485,0.0012012
P08_ActIntVerGlo_I05_gen,MH_019,R0,Active-Intuitive-Verbal-Global,-1,1,1,1,0.2965,0,0.0,0.0,4,8412,1754,0.0015092
P13_RefIntVisSeq_I05_gen,MH_070,R0,Reflective-Intuitive-Visual-Sequential,1,1,-1,-1,0.2783,0,0.0,0.0,3,10930,2129,0.001922
P12_RefSenVerGlo_I05_gen,MH_024,R0,Reflective-Sensing-Verbal-Global,1,-1,1,1,0.3054,0,0.0,0.0,4,11663,2061,0.0016152
P03_ActSenVerSeq_I01_beg,MH_056,R0,Active-Sensing-Verbal-Sequential,-1,-1,1,-1,0.2159,0,0.2,0.3333,3,10156,2286,0.0017927999999999998
P08_ActIntVerGlo_I05_gen,MH_059,R0,Active-Intuitive-Verbal-Global,-1,1,1,1,0.1623,0,0.2,0.3333,4,10638,1835,0.0018308
P07_ActIntVerSeq_I02_int,MH_062,R0,Active-Intuitive-Verbal-Sequential,-1,1,1,-1,0.207,0,0.0,0.0,3,7227,2014,0.0014608
P09_RefSenVisSeq_I03_adv,MH_072,R0,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.2216,0,0.0,0.0,4,12279,2299,0.0019576
P07_ActIntVerSeq_I05_gen,MH_021,R0,Active-Intuitive-Verbal-Sequential,-1,1,1,-1,0.2574,0,0.2,0.0,4,10009,1758,0.0014099999999999998
P07_ActIntVerSeq_I03_adv,MH_025,R0,Active-Intuitive-Verbal-Sequential,-1,1,1,-1,0.3062,0,0.0,0.0,3,11404,1871,0.0011216
P15_RefIntVerSeq_I05_gen,MH_006,R0,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.2671,0,0.2,0.3333,4,10172,2448,0.0019548
P14_RefIntVisGlo_I05_gen,MH_026,R0,Reflective-Intuitive-Visual-Global,1,1,-1,1,0.1944,0,0.0,0.0,3,7373,1947,0.0014015999999999998
P12_RefSenVerGlo_I05_gen,MH_052,R0,Reflective-Sensing-Verbal-Global,1,-1,1,1,0.2655,0,0.0,0.0,4,8192,1830,0.0016752
P05_ActIntVisSeq_I02_int,MH_072,R1,Active-Intuitive-Visual-Sequential,-1,1,-1,-1,0.2388,0,0.0,0.0,4,14827,2636,0.0022543999999999997
P12_RefSenVerGlo_I05_gen,MH_027,R1,Reflective-Sensing-Verbal-Global,1,-1,1,1,0.349,0,0.0,0.0,4,11709,2828,0.0023312
P05_ActIntVisSeq_I03_adv,MH_069,R1,Active-Intuitive-Visual-Sequential,-1,1,-1,-1,0.3151,0,0.0,0.0,4,11603,3110,0.002444
P08_ActIntVerGlo_I03_adv,MH_065,R1,Active-Intuitive-Verbal-Global,-1,1,1,1,0.3018,0,0.0,0.0,4,10045,2526,0.002052
P13_RefIntVisSeq_I02_int,MH_028,R1,Reflective-Intuitive-Visual-Sequential,1,1,-1,-1,0.3394,0,0.0,0.0,4,12246,3246,0.0024983999999999996
P01_ActSenVisSeq_I04_gen,MH_058,R1,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.267,0,0.0,0.0,5,14401,2241,0.0020964
P08_ActIntVerGlo_I05_gen,MH_064,R1,Active-Intuitive-Verbal-Global,-1,1,1,1,0.334,0,0.0,0.0,4,10531,3078,0.0023052
P16_RefIntVerGlo_I03_adv,MH_042,R1,Reflective-Intuitive-Verbal-Global,1,1,1,1,0.4546,0,0.0,0.0,5,12718,3233,0.0024931999999999997
P14_RefIntVisGlo_I02_int,MH_045,R1,Reflective-Intuitive-Visual-Global,1,1,-1,1,0.2486,0,0.0,0.0,4,9167,2033,0.0018391999999999998
P04_ActSenVerGlo_I05_gen,MH_026,R1,Active-Sensing-Verbal-Global,-1,-1,1,1,0.3052,0,0.0,0.0,5,12082,2226,0.0020088
P09_RefSenVisSeq_I03_adv,MH_048,R1,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.3563,0,0.0,0.0,4,14518,3205,0.002482
P15_RefIntVerSeq_I01_beg,MH_060,R1,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.301,0,0.0,0.0,3,11205,2623,0.0020104
P09_RefSenVisSeq_I05_gen,MH_007,R1,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.2638,0,0.0,0.0,4,13926,1866,0.0019463999999999998
P04_ActSenVerGlo_I05_gen,MH_044,R1,Active-Sensing-Verbal-Global,-1,-1,1,1,0.3517,0,0.0,0.0,4,16078,2452,0.0021808
P03_ActSenVerSeq_I02_int,MH_011,R1,Active-Sensing-Verbal-Sequential,-1,-1,1,-1,0.293,0,0.2,0.3333,5,14054,2830,0.0023008
