agent_id,question_id,mode,profile_label,act_ref,sen_int,vis_ver,seq_glo,scs,rr,cr5,cr10,er,engagement,latency_ms,token_count,tutor_cost
P14_RefIntVisGlo_I05_gen,MH_050,R0,Reflective-Intuitive-Visual-Global,1,1,-1,1,0.227,5,0.25,0.5,0.5,3,16370,4119,0.0028475999999999996
P15_RefIntVerSeq_I01_beg,MH_060,R0,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.3232,4,0.0,0.0,0.0,4,27188,3255,0.0021215999999999995
P07_ActIntVerSeq_I01_beg,MH_074,R0,Active-Intuitive-Verbal-Sequential,-1,1,1,-1,0.2325,3,0.0,0.0,0.0,3,10718,4380,0.0025811999999999996
P14_RefIntVisGlo_I01_beg,MH_102,R0,Reflective-Intuitive-Visual-Global,1,1,-1,1,0.2545,5,0.0,0.6667,1.0,3,12529,4260,0.002904
P01_ActSenVisSeq_I03_adv,MH_097,R0,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.339,5,0.3333,0.3333,1.0,3,14419,3666,0.0025008
P12_RefSenVerGlo_I01_beg,MH_073,R0,Reflective-Sensing-Verbal-Global,1,-1,1,1,0.254,3,0.0,0.0,0.0,4,19585,3835,0.002734
P08_ActIntVerGlo_I01_beg,MH_076,R0,Active-Intuitive-Verbal-Global,-1,1,1,1,0.1726,5,0.3333,0.6667,1.0,3,22993,4118,0.0028472
P09_RefSenVisSeq_I03_adv,MH_027,R0,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.2311,3,0.0,0.0,0.0,3,19144,4058,0.0028231999999999997
P11_RefSenVerSeq_I01_beg,MH_101,R0,Reflective-Sensing-Verbal-Sequential,1,-1,1,-1,0.1601,4,0.0,0.6667,1.0,4,13516,3602,0.0024308
P05_ActIntVisSeq_I04_gen,MH_038,R0,Active-Intuitive-Visual-Sequential,-1,1,-1,-1,0.4198,3,0.0,0.25,0.0,3,15305,5083,0.0032332
P15_RefIntVerSeq_I04_gen,MH_101,R0,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.1858,3,0.0,0.6667,1.0,4,11425,3477,0.0022308
P10_RefSenVisGlo_I01_beg,MH_053,R0,Reflective-Sensing-Visual-Global,1,-1,-1,1,0.262,3,0.0,0.25,0.0,3,17604,4244,0.0028975999999999997
P05_ActIntVisSeq_I01_beg,MH_008,R0,Active-Intuitive-Visual-Sequential,-1,1,-1,-1,0.1897,4,0.0,0.0,0.0,3,17759,3016,0.0024064
P08_ActIntVerGlo_I04_gen,MH_068,R0,Active-Intuitive-Verbal-Global,-1,1,1,1,0.3507,4,0.0,0.3333,1.0,3,20179,4540,0.0030159999999999996
P01_ActSenVisSeq_I04_gen,MH_060,R0,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.4213,4,0.0,0.0,0.0,3,16530,3355,0.0022816
P01_ActSenVisSeq_I02_int,MH_088,R0,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.3015,4,0.0,0.0,0.0,2,20648,4503,0.002898
P13_RefIntVisSeq_I04_gen,MH_079,R0,Reflective-Intuitive-Visual-Sequential,1,1,-1,-1,0.3514,3,0.6667,0.6667,0.0,3,29233,5150,0.0031111999999999997
P01_ActSenVisSeq_I01_beg,MH_008,R0,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.1488,5,0.0,0.0,0.0,3,19751,3169,0.0024676
P11_RefSenVerSeq_I03_adv,MH_092,R0,Reflective-Sensing-Verbal-Sequential,1,-1,1,-1,0.1575,3,0.0,0.3333,1.0,4,45945,5014,0.0030004
P04_ActSenVerGlo_I01_beg,MH_071,R0,Active-Sensing-Verbal-Global,-1,-1,1,1,0.2279,5,0.6667,0.6667,0.0,3,11246,4201,0.0025852
P12_RefSenVerGlo_I02_int,MH_046,R0,Reflective-Sensing-Verbal-Global,1,-1,1,1,0.2197,5,0.0,0.0,0.0,4,959213,5033,0.0022915999999999995
P08_ActIntVerGlo_I01_beg,MH_046,R0,Active-Intuitive-Verbal-Global,-1,1,1,1,0.1749,5,0.0,0.0,0.0,3,22020,4698,0.0024647999999999996
P02_ActSenVisGlo_I03_adv,MH_023,R0,Active-Sensing-Visual-Global,-1,-1,-1,1,0.2031,3,0.3333,0.3333,1.0,3,14599,3687,0.0025776
P13_RefIntVisSeq_I02_int,MH_081,R0,Reflective-Intuitive-Visual-Sequential,1,1,-1,-1,0.355,5,0.3333,0.3333,0.0,3,14910,5732,0.0034928
P03_ActSenVerSeq_I05_gen,MH_031,R0,Active-Sensing-Verbal-Sequential,-1,-1,1,-1,0.3031,3,0.0,0.0,0.0,3,11241,3346,0.00244
P03_ActSenVerSeq_I03_adv,MH_021,R0,Active-Sensing-Verbal-Sequential,-1,-1,1,-1,0.3111,2,0.3333,0.3333,0.0,3,17978,4021,0.0028084
