model,knowledge_level,dimension,das
gpt-4.1-mini,ALL,act_ref,0.9844696969696969
gpt-4.1-mini,ALL,sen_int,0.8700757575757575
gpt-4.1-mini,ALL,vis_ver,0.9738636363636363
gpt-4.1-mini,ALL,seq_glo,0.8678030303030303
gpt-4.1-mini,ALL,overall_4d,0.9240530303030303
claude-sonnet-4-20250514,ALL,act_ref,0.9526515151515151
claude-sonnet-4-20250514,ALL,sen_int,0.9102272727272727
claude-sonnet-4-20250514,ALL,vis_ver,0.9818181818181817
claude-sonnet-4-20250514,ALL,seq_glo,0.8621212121212122
claude-sonnet-4-20250514,ALL,overall_4d,0.9267045454545456
llama3.1:8b,ALL,act_ref,0.8636363636363635
llama3.1:8b,ALL,sen_int,0.687121212121212
llama3.1:8b,ALL,vis_ver,0.7920454545454546
llama3.1:8b,ALL,seq_glo,0.6215909090909091
llama3.1:8b,ALL,overall_4d,0.7410984848484848
qwen2.5:7b,ALL,act_ref,0.793560606060606
qwen2.5:7b,ALL,sen_int,0.7473484848484849
qwen2.5:7b,ALL,vis_ver,0.899621212121212
qwen2.5:7b,ALL,seq_glo,0.6996212121212121
qwen2.5:7b,ALL,overall_4d,0.7850378787878789
gemma2:9b,ALL,act_ref,0.9212121212121211
gemma2:9b,ALL,sen_int,0.8503787878787877
gemma2:9b,ALL,vis_ver,0.9253787878787878
gemma2:9b,ALL,seq_glo,0.6496212121212123
gemma2:9b,ALL,overall_4d,0.8366477272727273
gemma3:12b,ALL,act_ref,0.9488636363636362
gemma3:12b,ALL,sen_int,0.8249999999999997
gemma3:12b,ALL,vis_ver,0.9859848484848485
gemma3:12b,ALL,seq_glo,0.7689393939393939
gemma3:12b,ALL,overall_4d,0.8821969696969697
gpt-4.1-mini,beginner,act_ref,0.9962121212121212
gpt-4.1-mini,beginner,sen_int,0.8674242424242423
gpt-4.1-mini,beginner,vis_ver,0.9772727272727272
gpt-4.1-mini,beginner,seq_glo,0.8674242424242423
gpt-4.1-mini,beginner,overall_4d,0.9270833333333334
gpt-4.1-mini,intermediate,act_ref,0.9924242424242425
gpt-4.1-mini,intermediate,sen_int,0.875
gpt-4.1-mini,intermediate,vis_ver,0.9772727272727272
gpt-4.1-mini,intermediate,seq_glo,0.875
gpt-4.1-mini,intermediate,overall_4d,0.9299242424242425
gpt-4.1-mini,advanced,act_ref,0.9772727272727272
gpt-4.1-mini,advanced,sen_int,0.8712121212121212
gpt-4.1-mini,advanced,vis_ver,0.9772727272727272
gpt-4.1-mini,advanced,seq_glo,0.8636363636363636
gpt-4.1-mini,advanced,overall_4d,0.9223484848484849
gpt-4.1-mini,general,act_ref,0.9782196969696969
gpt-4.1-mini,general,sen_int,0.868371212121212
gpt-4.1-mini,general,vis_ver,0.96875
gpt-4.1-mini,general,seq_glo,0.8664772727272728
gpt-4.1-mini,general,overall_4d,0.9204545454545454
claude-sonnet-4-20250514,general,act_ref,0.9517045454545454
claude-sonnet-4-20250514,general,sen_int,0.9100378787878788
claude-sonnet-4-20250514,general,vis_ver,0.9829545454545454
claude-sonnet-4-20250514,general,seq_glo,0.8636363636363636
claude-sonnet-4-20250514,general,overall_4d,0.9270833333333334
claude-sonnet-4-20250514,beginner,act_ref,0.9696969696969697
claude-sonnet-4-20250514,beginner,sen_int,0.9109848484848485
claude-sonnet-4-20250514,beginner,vis_ver,0.9829545454545454
claude-sonnet-4-20250514,beginner,seq_glo,0.8617424242424243
claude-sonnet-4-20250514,beginner,overall_4d,0.9313446969696969
claude-sonnet-4-20250514,intermediate,act_ref,0.9583333333333334
claude-sonnet-4-20250514,intermediate,sen_int,0.9071969696969697
claude-sonnet-4-20250514,intermediate,vis_ver,0.9829545454545454
claude-sonnet-4-20250514,intermediate,seq_glo,0.8579545454545454
claude-sonnet-4-20250514,intermediate,overall_4d,0.9266098484848485
claude-sonnet-4-20250514,advanced,act_ref,0.9318181818181818
claude-sonnet-4-20250514,advanced,sen_int,0.912878787878788
claude-sonnet-4-20250514,advanced,vis_ver,0.9772727272727272
claude-sonnet-4-20250514,advanced,seq_glo,0.8636363636363636
claude-sonnet-4-20250514,advanced,overall_4d,0.9214015151515151
llama3.1:8b,general,act_ref,0.8598484848484849
llama3.1:8b,general,sen_int,0.694128787878788
llama3.1:8b,general,vis_ver,0.8001893939393939
llama3.1:8b,general,seq_glo,0.615530303030303
llama3.1:8b,general,overall_4d,0.7424242424242423
llama3.1:8b,beginner,act_ref,0.8655303030303031
llama3.1:8b,beginner,sen_int,0.6742424242424243
llama3.1:8b,beginner,vis_ver,0.7821969696969697
llama3.1:8b,beginner,seq_glo,0.6363636363636364
llama3.1:8b,beginner,overall_4d,0.7395833333333334
llama3.1:8b,intermediate,act_ref,0.8674242424242425
llama3.1:8b,intermediate,sen_int,0.6893939393939394
llama3.1:8b,intermediate,vis_ver,0.7935606060606061
llama3.1:8b,intermediate,seq_glo,0.6287878787878788
llama3.1:8b,intermediate,overall_4d,0.7447916666666666
llama3.1:8b,advanced,act_ref,0.8655303030303031
llama3.1:8b,advanced,sen_int,0.6837121212121212
llama3.1:8b,advanced,vis_ver,0.7840909090909091
llama3.1:8b,advanced,seq_glo,0.6117424242424242
llama3.1:8b,advanced,overall_4d,0.7362689393939394
qwen2.5:7b,beginner,act_ref,0.774621212121212
qwen2.5:7b,beginner,sen_int,0.7215909090909091
qwen2.5:7b,beginner,vis_ver,0.9299242424242423
qwen2.5:7b,beginner,seq_glo,0.6685606060606061
qwen2.5:7b,beginner,overall_4d,0.7736742424242423
qwen2.5:7b,intermediate,act_ref,0.7973484848484849
qwen2.5:7b,intermediate,sen_int,0.7462121212121212
qwen2.5:7b,intermediate,vis_ver,0.899621212121212
qwen2.5:7b,intermediate,seq_glo,0.712121212121212
qwen2.5:7b,intermediate,overall_4d,0.7888257575757577
qwen2.5:7b,advanced,act_ref,0.7935606060606061
qwen2.5:7b,advanced,sen_int,0.7632575757575757
qwen2.5:7b,advanced,vis_ver,0.9053030303030303
qwen2.5:7b,advanced,seq_glo,0.6931818181818182
qwen2.5:7b,advanced,overall_4d,0.7888257575757577
qwen2.5:7b,general,act_ref,0.8011363636363636
qwen2.5:7b,general,sen_int,0.7528409090909091
qwen2.5:7b,general,vis_ver,0.881628787878788
qwen2.5:7b,general,seq_glo,0.712121212121212
qwen2.5:7b,general,overall_4d,0.7869318181818182
gemma2:9b,beginner,act_ref,0.9242424242424243
gemma2:9b,beginner,sen_int,0.8125
gemma2:9b,beginner,vis_ver,0.9015151515151515
gemma2:9b,beginner,seq_glo,0.6742424242424243
gemma2:9b,beginner,overall_4d,0.828125
gemma2:9b,intermediate,act_ref,0.9223484848484849
gemma2:9b,intermediate,sen_int,0.8655303030303031
gemma2:9b,intermediate,vis_ver,0.9299242424242423
gemma2:9b,intermediate,seq_glo,0.6571969696969697
gemma2:9b,intermediate,overall_4d,0.84375
gemma2:9b,advanced,act_ref,0.9053030303030303
gemma2:9b,advanced,sen_int,0.8636363636363636
gemma2:9b,advanced,vis_ver,0.9280303030303031
gemma2:9b,advanced,seq_glo,0.6136363636363636
gemma2:9b,advanced,overall_4d,0.8276515151515151
gemma2:9b,general,act_ref,0.9270833333333334
gemma2:9b,general,sen_int,0.8551136363636364
gemma2:9b,general,vis_ver,0.9337121212121212
gemma2:9b,general,seq_glo,0.6515151515151515
gemma2:9b,general,overall_4d,0.8418560606060606
gemma3:12b,general,act_ref,0.9479166666666666
gemma3:12b,general,sen_int,0.8257575757575757
gemma3:12b,general,vis_ver,0.9886363636363636
gemma3:12b,general,seq_glo,0.7840909090909091
gemma3:12b,general,overall_4d,0.8866003787878788
gemma3:12b,beginner,act_ref,0.9450757575757575
gemma3:12b,beginner,sen_int,0.8238636363636364
gemma3:12b,beginner,vis_ver,0.9772727272727272
gemma3:12b,beginner,seq_glo,0.7405303030303031
gemma3:12b,beginner,overall_4d,0.8716856060606061
gemma3:12b,intermediate,act_ref,0.9431818181818182
gemma3:12b,intermediate,sen_int,0.8181818181818182
gemma3:12b,intermediate,vis_ver,0.9886363636363636
gemma3:12b,intermediate,seq_glo,0.7632575757575758
gemma3:12b,intermediate,overall_4d,0.8783143939393939
gemma3:12b,advanced,act_ref,0.9602272727272728
gemma3:12b,advanced,sen_int,0.8314393939393939
gemma3:12b,advanced,vis_ver,0.9867424242424242
gemma3:12b,advanced,seq_glo,0.7727272727272728
gemma3:12b,advanced,overall_4d,0.8877840909090909
