model,knowledge_level,dimension,pra,ties
gpt-4.1-mini,ALL,act_ref,1.0,0
gpt-4.1-mini,ALL,sen_int,1.0,0
gpt-4.1-mini,ALL,vis_ver,1.0,0
gpt-4.1-mini,ALL,seq_glo,0.9833333333333333,0
gpt-4.1-mini,ALL,overall_4d,0.9958333333333333,0
gpt-4.1-mini,beginner,overall_4d,0.9947916666666666,0
gpt-4.1-mini,intermediate,overall_4d,1.0,0
gpt-4.1-mini,advanced,overall_4d,0.984375,0
gpt-4.1-mini,general,overall_4d,1.0,0
claude-sonnet-4-20250514,ALL,act_ref,1.0,0
claude-sonnet-4-20250514,ALL,sen_int,1.0,0
claude-sonnet-4-20250514,ALL,vis_ver,1.0,0
claude-sonnet-4-20250514,ALL,seq_glo,1.0,0
claude-sonnet-4-20250514,ALL,overall_4d,1.0,0
claude-sonnet-4-20250514,general,overall_4d,1.0,0
claude-sonnet-4-20250514,beginner,overall_4d,1.0,0
claude-sonnet-4-20250514,intermediate,overall_4d,1.0,0
claude-sonnet-4-20250514,advanced,overall_4d,1.0,0
llama3.1:8b,ALL,act_ref,1.0,0
llama3.1:8b,ALL,sen_int,0.5,0
llama3.1:8b,ALL,vis_ver,0.8791666666666667,0
llama3.1:8b,ALL,seq_glo,0.5166666666666667,0
llama3.1:8b,ALL,overall_4d,0.7239583333333333,0
llama3.1:8b,general,overall_4d,0.7213541666666666,0
llama3.1:8b,beginner,overall_4d,0.7239583333333334,0
llama3.1:8b,intermediate,overall_4d,0.734375,0
llama3.1:8b,advanced,overall_4d,0.71875,0
qwen2.5:7b,ALL,act_ref,0.85,0
qwen2.5:7b,ALL,sen_int,0.9958333333333333,0
qwen2.5:7b,ALL,vis_ver,1.0,0
qwen2.5:7b,ALL,seq_glo,0.9791666666666666,0
qwen2.5:7b,ALL,overall_4d,0.9562499999999999,0
qwen2.5:7b,beginner,overall_4d,0.9322916666666666,0
qwen2.5:7b,intermediate,overall_4d,0.96875,0
qwen2.5:7b,advanced,overall_4d,0.953125,0
qwen2.5:7b,general,overall_4d,0.9635416666666667,0
gemma2:9b,ALL,act_ref,1.0,0
gemma2:9b,ALL,sen_int,0.975,0
gemma2:9b,ALL,vis_ver,1.0,0
gemma2:9b,ALL,seq_glo,0.8166666666666667,0
gemma2:9b,ALL,overall_4d,0.9479166666666667,0
gemma2:9b,beginner,overall_4d,0.921875,0
gemma2:9b,intermediate,overall_4d,0.9583333333333334,0
gemma2:9b,advanced,overall_4d,0.953125,0
gemma2:9b,general,overall_4d,0.953125,0
gemma3:12b,ALL,act_ref,1.0,0
gemma3:12b,ALL,sen_int,1.0,0
gemma3:12b,ALL,vis_ver,1.0,0
gemma3:12b,ALL,seq_glo,1.0,0
gemma3:12b,ALL,overall_4d,1.0,0
gemma3:12b,general,overall_4d,1.0,0
gemma3:12b,beginner,overall_4d,1.0,0
gemma3:12b,intermediate,overall_4d,1.0,0
gemma3:12b,advanced,overall_4d,1.0,0
